food_name,cuisine,diet_type,mood_tags,nutrients,meal_time,mood_score_weight
Masala Dosa,South Indian,veg,joy;neutral,carbs;protein;fiber,breakfast,0.92
Idli Sambar,South Indian,veg,neutral;sadness,carbs;protein;fiber,breakfast,0.90
Poha,West Indian,vegan,joy;surprise,carbs;iron;fiber,breakfast,0.88
Upma,South Indian,vegan,neutral;joy,carbs;protein;fiber,breakfast,0.84
Paneer Tikka,North Indian,veg,joy;surprise,protein;calcium;fat,lunch,0.95
Chole Bhature,North Indian,veg,joy;anger,carbs;protein;iron,lunch,0.86
Dal Khichdi,North Indian,vegan,sadness;neutral,carbs;protein;fiber,dinner,0.93
Rajma Chawal,North Indian,vegan,sadness;neutral,carbs;protein;iron,lunch,0.91
Vegetable Biryani,Hyderabadi,vegan,joy;surprise,carbs;fiber;iron,lunch,0.87
Chicken Biryani,Hyderabadi,nonveg,joy;anger,protein;fat;iron,lunch,0.89
Butter Chicken,North Indian,nonveg,joy;surprise,protein;fat;calcium,dinner,0.88
Fish Curry,Coastal Indian,nonveg,sadness;neutral,protein;omega-3;iron,dinner,0.86
Aloo Paratha,North Indian,veg,neutral;joy,carbs;protein;fiber,breakfast,0.83
Pav Bhaji,Street Food,veg,joy;surprise,carbs;vitamin C;fiber,evening,0.89
Vada Pav,Street Food,vegan,anger;joy,carbs;fiber;fat,evening,0.84
Dahi Puri,Street Food,veg,surprise;joy,carbs;protein;probiotics,evening,0.80
Samosa,Street Food,vegan,anger;surprise,carbs;fat;fiber,snack,0.78
Methi Thepla,Gujarati,vegan,neutral;joy,carbs;fiber;iron,breakfast,0.85
Kanda Poha,West Indian,vegan,joy;neutral,carbs;iron;fiber,breakfast,0.86
Egg Bhurji,North Indian,nonveg,anger;joy,protein;fat;vitamin D,breakfast,0.87
Tandoori Chicken,North Indian,nonveg,anger;surprise,protein;iron;fat,dinner,0.90
Mutton Rogan Josh,Kashmiri,nonveg,sadness;anger,protein;iron;fat,dinner,0.82
Palak Paneer,North Indian,veg,neutral;sadness,protein;iron;calcium,lunch,0.91
Ghee Roast Dosa,South Indian,veg,joy;surprise,carbs;fat;protein,breakfast,0.81
Ragi Porridge,South Indian,vegan,neutral;sadness,carbs;calcium;fiber,breakfast,0.92
Sprouts Salad,Healthy,vegan,joy;neutral,protein;fiber;iron,any,0.94
Fruit Chaat,Healthy,vegan,surprise;joy,vitamin C;fiber;water,snack,0.88
Coconut Rice,South Indian,vegan,neutral;joy,carbs;fat;fiber,lunch,0.83
Curd Rice,South Indian,veg,sadness;neutral,carbs;probiotics;calcium,lunch,0.89
Baingan Bharta,North Indian,vegan,neutral;disgust,fiber;vitamin C;iron,lunch,0.79
Bhindi Masala,North Indian,vegan,joy;neutral,fiber;iron;vitamin C,lunch,0.84
Litti Chokha,Bihari,veg,anger;neutral,carbs;protein;fiber,lunch,0.85
Dhokla,Gujarati,veg,joy;surprise,protein;carbs;probiotics,breakfast,0.90
Khaman,Gujarati,veg,joy;neutral,protein;carbs;probiotics,breakfast,0.88
Veg Momos,Tibetan-Indian,vegan,surprise;joy,carbs;fiber;vitamin C,evening,0.82
Chicken Momos,Tibetan-Indian,nonveg,surprise;anger,protein;fat;iron,evening,0.84
